dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_1909,Up Christian Academy Inc,43.094905998136,-87.943075973514,Private School,"2433 W Roosevelt Dr, Milwaukee, WI 53209",1,
8001_8124,Veritas High,42.988194019063,-87.952763022833,Public Charter School,"3025 W Oklahoma Ave, Milwaukee, WI 53215",1,
0000_1796,Victory Christian Academy,42.992559984789,-87.92479403686,Private School,"2840 S 10th St, Milwaukee, WI 53215",1,
0000_8705,Wisconsin Institute for Torah Study,43.077415019775,-87.870256010383,Private School,"3288 N Lake Dr, Milwaukee, WI 53211",1,
0000_8720,Wisconsin Lutheran High School,43.031794649761,-88.017085104029,Private School,"330 N Glenview Ave, Milwaukee, WI 53213",1,
8004_8113,Woodlands School,43.037104980572,-87.98289495892,Public Charter School,"5510 W Bluemound Rd, Milwaukee, WI 53208",1,
8004_8132,Woodlands School - State Street Campus,43.04285500806,-87.953702969455,Public Charter School,"3121 W State St, Milwaukee, WI 53208",1,
0000_8740,Yeshiva Elementary School,43.082280002107,-87.977727012698,Private School,"5115 W Keefe Ave, Milwaukee, WI 53216",1,
8010_8110,21st Century Preparatory School,42.729126993906,-87.796159986312,Public Charter School,"1220 Mound Ave, Racine, WI 53404",0,
0000_1300,Abundant Life Christian School,43.071468981482,-89.298223019251,Private School,"4901 E Buckeye Rd, Madison, WI 53716",0,
8022_8148,Adeline Montessori School Inc,43.022016004204,-88.444018991871,Public Charter School,"995 S Sawyer Rd, Oconomowoc, WI 53066",0,
0000_1294,All Saints Grade School,44.348732011555,-87.834767032338,Private School,"145 N St Claude St, Denmark, WI 54208",0,
0000_0857,Aquinas Academy,43.147858000895,-88.108551003089,Private School,"N72W15935 Good Hope Rd, Menomonee Falls, WI 53051",0,
0000_0071,Aquinas High,43.808157008052,-91.239964985866,Private School,"315 11th St South, La Crosse, WI 54601",0,
0000_0070,Aquinas Middle,43.808157008052,-91.239964985866,Private School,"315 11th St South, La Crosse, WI 54601",0,
0000_1894,Ascension Academy Inc,45.525160997885,-92.032277962208,Private School,"825 8th Ave, Cumberland, WI 54828",0,
0000_1307,Assumption High School,44.384376012899,-89.825474987657,Private School,"445 Chestnut St, Wisconsin Rapids, WI 54494",0,
0000_1198,Assumption Middle School,44.384376012899,-89.825474987657,Private School,"440 Mead St, Wisconsin Rapids, WI 54494",0,
0000_0090,Assumption of the Blessed Virgin Mary School,44.673437008016,-88.241995008775,Private School,"109 E Pulaski St, Pulaski, WI 54162",0,
0000_1791,Bader Hillel High Inc,43.146805988227,-87.94010098462,Private School,"2315 W Good Hope Rd, Glendale, WI 53209",0,
0000_0105,Badger State Baptist School,42.889951995057,-87.933498978584,Private School,"8519 S 13th St, Oak Creek, WI 53154",0,
0000_0120,Bay City Christian School,44.54140501774,-88.066648025097,Private School,"1840 Bond St, Green Bay, WI 54303",0,
0000_1115,Beautiful Savior Lutheran School,42.99115400435,-88.226367034123,Private School,"1205 S East Ave, Waukesha, WI 53186",0,
0000_0135,Bethany Evangelical Lutheran School,44.094668018676,-87.68811297961,Private School,"3209 Meadow Ln, Manitowoc, WI 54220",0,
0000_0160,Bethany Lutheran School,43.349033986846,-88.601554012206,Private School,"280 N Ridge St, Hustisford, WI 53034",0,
0000_1367,Bethlehem Evangelical Lutheran School,43.214579500824,-88.08719810475,Private School,"N108W14290 Bel Aire Ln, Germantown, WI 53022",0,
0000_0210,Bethlehem Evangelical Lutheran School,43.170576981814,-88.099308027001,Private School,"N84W15252 Menomonee Ave, Menomonee Falls, WI 53051",0,
0000_0230,Bethlehem Lutheran School,43.739626986785,-87.7189059964,Private School,"1121 Georgia Ave, Sheboygan, WI 53081",0,
0000_1299,Blessed Sacrament Elementary,43.809692991809,-91.219984037438,Private School,"2404 King St, La Crosse, WI 54601",0,
0000_5890,Burlington Catholic School,42.675954324167,-88.28077843738,Private School,"225 W State St, Burlington, WI 53105",0,
0000_0268,Calvary Baptist Christian School,43.179732995657,-88.751522017993,Private School,"792 Milford St, Watertown, WI 53094",0,
0000_0305,Cathedral Elementary,43.806066980495,-91.236769972014,Private School,"1319 Ferry St, La Crosse, WI 54601",0,
0000_0307,Catholic Central High School,42.675057982098,-88.282045900197,Private School,"148 McHenry St, Burlington, WI 53105",0,
0000_0310,Catholic Memorial High School of Waukesha Inc,43.002201017459,-88.219991004197,Private School,"601 E College Ave, Waukesha, WI 53186",0,
0000_1175,Celebration Lutheran School,44.302658994823,-88.362656025385,Private School,"3100 E Evergreen Dr, Appleton, WI 54913",0,
8028_8153,Central Sands Community High School,44.471612011302,-89.375301995024,Public Charter School,"3995 County Rd K, Amherst, WI 54406",0,
0000_8650,Central Wisconsin Christian School,43.628126007332,-88.75312899647,Private School,"301 Fox Lake Rd, Waupun, WI 53963",0,
0000_1734,Chesterton Academy of Milwaukee Inc,43.152980014287,-88.079734019972,Private School,"N74W13646 Appleton Ave, Menomonee Falls, WI 53051",0,
0000_0330,Chilton Area Catholic School,44.030089131957,-88.162493571522,Private School,"60 E Washington St, Chilton, WI 53014",0,
0000_0280,Christ Alone Lutheran School,43.226001981285,-87.985256979235,Private School,"110 Division St, Thiensville, WI 53092",0,
0000_0346,Christ Child Academy,43.724879992066,-87.722776004915,Private School,"2722 Henry St, Sheboygan, WI 53081",0,
0000_0365,Christ Lutheran School,42.882180001066,-88.208089958973,Private School,"W229S8930 Clark St, Big Bend, WI 53103",0,
0000_0430,Columbus Catholic High,44.664127018612,-90.193460988902,Private School,"710 S Columbus Ave, Marshfield, WI 54449",0,
0000_1031,Columbus Catholic Middle,44.664127018612,-90.193460988902,Private School,"710 S Columbus Ave, Marshfield, WI 54449",0,
0000_1615,Community Christian School of Baraboo,43.521771013514,-89.692424009411,Private School,"E12654 County Road T, Baraboo, WI 53913",0,
0000_0441,Concordia Lutheran School,42.698787982901,-87.889642011323,Private School,"8500 Durand Ave, Sturtevant, WI 53177",0,
0000_0436,Coulee Christian School,43.89973998717,-91.08375103729,Private School,"230 W Garland St, West Salem, WI 54669",0,
0000_1928,Coulee Christian School,43.911999987397,-91.242058030908,Private School,"123 Mason St, Onalaska, WI 54650",0,
0000_1784,Crown of Life Christian Academy,42.936908003379,-88.868995983558,Private School,"535 Berea Dr, Fort Atkinson, WI 53538",0,
0000_0469,Crown of Life Evangelical Lutheran School,43.236278613674,-88.245333101715,Private School,"1292 Tally Ho Trl, Hubertus, WI 53033",0,
0000_0470,David's Star Lutheran School,43.288111758087,-88.107292963242,Private School,"2740 Davids Star Dr, Jackson, WI 53037",0,
3381_0450,Destinations Career Academy of Wisconsin High,43.014700991574,-89.300337019051,Public Charter School,"4721 Dale-Curtin Dr, McFarland, WI 53558",0,
0000_7870,Divine Mercy School,42.929369990215,-87.855965033106,Private School,"695 College Ave, South Milwaukee, WI 53172",0,
0000_0500,Divine Redeemer Lutheran School,43.10453898418,-88.370426971638,Private School,"31385 W Hill Rd, Hartland, WI 53029",0,
0000_8310,Divine Savior Catholic School,43.912104006816,-88.035507997514,Private School,"423 Fremont St, Kiel, WI 53042",0,
0000_0530,Dominican High School,43.118645444134,-87.909811937114,Private School,"120 E Silver Spring Dr, Whitefish Bay, WI 53217",0,
0000_0550,Eastside Evangelical Lutheran Elementary,43.129114011828,-89.311600033804993,Private School,"2310 Independence Ln, Madison, WI 53704",0,
0000_0604,Emanuel Lutheran School,44.385198990062,-88.737941993744,Private School,"200 East Quincy St, New London, WI 54961",0,
0000_1681,EverGreen Academy,42.681459990647,-87.819147020494,Private School,"3351 Chicory Rd, Mount Pleasant, WI 53403",0,
3983_0400,Exploration Charter High School,43.812338991003,-88.487179003883,Public Charter School,"325 McKinley St, North Fond du Lac, WI 54937",0,
0000_1523,Faith Christian Academy,44.961890063697,-89.670249433103,Private School,"225 S 28th Ave, Wausau, WI 54401",0,
0000_0647,Faith Christian School,45.064660997626,-88.038741987217,Private School,"233 W Main St, Coleman, WI 54112",0,
0000_0646,Faith Christian School,42.573433016694,-88.571590971468,Private School,"W5525 State Hwy 67, Williams Bay, WI 53191",0,
0000_0652,Faith Lutheran School,43.779540981063,-88.410983983619,Private School,"55 Prairie Rd, Fond du Lac, WI 54935",0,
0000_2443,Father Allouez Catholic School: GRACE,44.459513991354,-88.030964000165,Private School,"333 Hilltop Dr, Green Bay, WI 54301",0,
0000_0662,First Evangelical Lutheran School,42.665538984661,-88.553647998978,Private School,"415 Devendorf St, Elkhorn, WI 53121",0,
0000_0675,First Evangelical Lutheran School,42.604677985704,-88.440779973027,Private School,"1101 Logan St, Lake Geneva, WI 53147",0,
0000_0670,First Evangelical Lutheran School,43.806175987146,-91.23972400615,Private School,"520 West Ave S, La Crosse, WI 54601",0,
0000_0680,First German Evangelical Lutheran Grade School,44.087396005209,-87.657301019718,Private School,"1025 S 8th St, Manitowoc, WI 54220",0,
0000_0690,First Immanuel Lutheran School,43.298642990784,-87.993389017877,Private School,"W67N622 Evergreen Blvd, Cedarburg, WI 53012",0,
0000_8260,Fond du Lac Christian School,43.761692011618,-88.419310985328,Private School,"720 Rienzi Rd, Fond du Lac, WI 54935",0,
0000_0700,Fox Valley Lutheran High School,44.317963008917,-88.39333697613,Private School,"5300 N Meade St, Appleton, WI 54913",0,
0000_0780,Good Shepherd Evangelical Lutheran School,43.412791268627,-88.172721428877,Private School,"777 S Indiana Ave, West Bend, WI 53095",0,
0000_0768,Good Shepherd Lutheran School,43.191056988757,-88.698660036874,Private School,"1611 E Main St, Watertown, WI 53094",0,
0000_1088,Grace Christian Academy,42.991626995146,-88.0189020224,Private School,"8420 W Beloit Rd, West Allis, WI 53227",0,
0000_0830,Grace Lutheran School,44.009848983963,-88.54082796189,Private School,"913 Nebraska St, Oshkosh, WI 54902",0,
0000_0818,Grace Lutheran School,43.176838012029,-88.111191973142,Private School,"N87W16173 Kenwood Blvd, Menomonee Falls, WI 53051",0,
0000_0825,Grace Lutheran School,42.889245987353,-87.883752969971,Private School,"8537 S Pennsylvania Ave, Oak Creek, WI 53154",0,
0000_8120,Green Bay Adventist Junior Academy,44.528371996492,-88.053070012505,Private School,"1422 Shawano Ave, Green Bay, WI 54303",0,
0000_1371,Green Bay Trinity Lutheran School,44.50152400625,-87.978839961802,Private School,"120 S Henry St, Green Bay, WI 54302",0,
0000_1731,Guidance Academy,42.912847748684,-87.873215365578,Private School,"1800 16th Ave, South Milwaukee, WI 53172",0,
0000_0840,Hales Corners Lutheran School,42.935089004661,-88.068855986031,Private School,"12300 W Janesville Rd, Hales Corners, WI 53130",0,
2478_0800,Hayward Ctr for Individualized Learning,46.017838998706,-91.468767976141,Public Charter School,"15574 State Hwy 77, Hayward, WI 54843",0,
0000_0848,Heritage Christian Schools,42.981006998094,-88.091434989167,Private School,"3500 S Glen Park Rd, New Berlin, WI 53151",0,
